Vorname;Nachname;Geburtsdatum;Geschlecht;Telefon-Nr.;Bundesland;Stadt;Postleitzahl;Straße;Hausnummer;Adresszusatz
Erdheide;Bopp;27.09.1953;w;;Niedersachsen;Stemshorn;49448;Stauffenbergstraße;35;
Zilli;Ungar;07.06.1909;w;;Nordrhein-Westfalen;Siegburg;53721;Zum Rödchen;125;
Wolfhart;Riechmann;13.04.1922;m;08341/11597946;Bayern;Biessenhofen;87640;Buchenstraße;121;
Detlef;Voß;25.04.2014;m;04267/84714418;Niedersachsen;Stemmen;27389;Helleweg;26;
Detlev;Riedmann;04.08.1936;m;04838/62505739;Schleswig-Holstein;Schalkholz;25782;Tempelhofer Straße;73;
Dennis;Bührer;30.12.1955;m;03868/5730685;Mecklenburg-Vorpommern;Uelitz;19077;Stargarder Straße;79;
Edeltraude;Spies;20.10.1911;w;0241/22689161;Nordrhein-Westfalen;Aachen;52078;Zum Eichenhain;62;
Ekkehardt;Kell;31.01.1990;m;04473/17353271;Niedersachsen;Halen;49685;Heroldstraße;88;
Auguste;Seidlitz;19.09.1960;w;03744/30783972;Sachsen;Rodewisch;8228;Widdeshover Weg;9;140
Rochus;Lambrecht;24.05.1946;m;07943/8377736;Baden-Württemberg;Jagsthausen;74249;Moorweg;16;
Friedmar;Acar;13.04.1910;m;09480/98661806;Bayern;Mötzing;93099;Antoniusweg;174;
Gerold;Bohnsack;25.12.1949;m;08427/45995636;Bayern;Wellheim;91809;Leckingser Straße;156;
Leah;Eisenhardt;22.02.1902;w;09287/50589400;Bayern;Schönwald;95173;Usinger Straße;32;
Thekla;Kasper;22.09.1981;w;05957/11380152;Niedersachsen;Lindern;49699;Katzenberger Weg;147;
Jesse;Hagenah;26.05.1971;d;08033/91964498;Bayern;Kiefersfelden;83088;Grafenstraße;166;
Annedoris;Alex;25.04.1938;w;06131/45104902;Rheinland-Pfalz;Mainz am Rhein;55131;Willy-Brandt-Straße;37;
Deborah;Ruder;13.06.1966;w;0202/91736910;Nordrhein-Westfalen;Wuppertal;42283;Graf-Arnold-Platz;58;
Wiegbert;Bredemeier;14.02.1969;m;06486/8923014;Rheinland-Pfalz;Biebrich;56370;Ortelsburgweg;64;
Meik;Bührer;30.12.1955;m;03868/5730685;Mecklenburg-Vorpommern;Uelitz;19077;Stargarder Straße;79;
Liesegret;Preußner;02.01.1920;w;;Nordrhein-Westfalen;Duisburg;47169;Mühlgasse;187;
Hellmuth;Waller;31.03.2015;m;;Baden-Württemberg;Berau;79777;Pützgracht;171;
Alphonsus;Steinkamp;05.02.2005;m;089/33742184;Bayern;Grünwald;82031;Südhang;194;
Wilfrid;Buscher;18.01.1925;m;030/7097262;Berlin;Berlin - Neukölln;12043;Jägerskamp;45;
